Age,Mouse,Weight mg,Treatment,Weight g,Age at start,Week,Cohort
96,201,37000,MCP230,37,81,3,First Cohort
96,202,38000,MCP230,38,81,3,First Cohort
96,214,32500,MCP230,32.5,81,3,First Cohort
96,2500,35200,MCP230,35.2,81,3,First Cohort
97,203,37100,MCP230,37.1,82,3,First Cohort
97,204,32000,MCP230,32,82,3,First Cohort
97,207,34200,MCP230,34.2,82,3,First Cohort
97,208,40300,MCP230,40.3,82,3,First Cohort
97,209,34300,MCP230,34.3,82,3,First Cohort
97,250,38400,MCP230,38.4,82,3,First Cohort
89,298,27400,Saline,27.4,68,3,First Cohort
89,292,25600,Saline,25.6,68,3,First Cohort
89,293,30900,Saline,30.9,68,3,First Cohort
89,290,28500,Saline,28.5,68,3,First Cohort
89,297,31100,Saline,31.1,68,3,First Cohort
90,291,41200,Saline,41.2,69,3,First Cohort
90,294,41300,Saline,41.3,69,3,First Cohort
92,277,27600,Saline,27.6,71,3,First Cohort
92,300,31800,Saline,31.8,71,3,First Cohort
92,281,32900,Saline,32.9,71,3,First Cohort
92,279,33700,Saline,33.7,71,3,First Cohort
92,278,30300,Saline,30.3,71,3,First Cohort
92,280,39200,Saline,39.2,71,3,First Cohort
92,276,33800,Saline,33.8,71,3,First Cohort
102,201,38500,MCP230,38.5,81,4,First Cohort
102,202,39500,MCP230,39.5,81,4,First Cohort
102,214,33300,MCP230,33.3,81,4,First Cohort
102,2500,36500,MCP230,36.5,81,4,First Cohort
103,203,38300,MCP230,38.3,82,4,First Cohort
103,204,32600,MCP230,32.6,82,4,First Cohort
103,207,35000,MCP230,35,82,4,First Cohort
103,208,42400,MCP230,42.4,82,4,First Cohort
103,209,36000,MCP230,36,82,4,First Cohort
103,250,39400,MCP230,39.4,82,4,First Cohort
96,298,28900,Saline,28.9,68,4,First Cohort
96,292,27300,Saline,27.3,68,4,First Cohort
96,293,32700,Saline,32.7,68,4,First Cohort
96,290,29400,Saline,29.4,68,4,First Cohort
96,297,33200,Saline,33.2,68,4,First Cohort
97,291,42700,Saline,42.7,69,4,First Cohort
97,294,43300,Saline,43.3,69,4,First Cohort
99,277,29100,Saline,29.1,71,4,First Cohort
99,300,33100,Saline,33.1,71,4,First Cohort
99,281,33900,Saline,33.9,71,4,First Cohort
99,279,35700,Saline,35.7,71,4,First Cohort
99,278,31500,Saline,31.5,71,4,First Cohort
99,280,41000,Saline,41,71,4,First Cohort
99,276,36000,Saline,36,71,4,First Cohort
109,201,40800,MCP230,40.8,81,5,First Cohort
109,202,41800,MCP230,41.8,81,5,First Cohort
109,214,36100,MCP230,36.1,81,5,First Cohort
109,2500,37600,MCP230,37.6,81,5,First Cohort
110,203,41200,MCP230,41.2,82,5,First Cohort
110,204,34300,MCP230,34.3,82,5,First Cohort
110,207,37300,MCP230,37.3,82,5,First Cohort
110,208,43400,MCP230,43.4,82,5,First Cohort
110,209,38300,MCP230,38.3,82,5,First Cohort
110,250,42000,MCP230,42,82,5,First Cohort
103,298,30600,Saline,30.6,68,5,First Cohort
103,292,29000,Saline,29,68,5,First Cohort
103,293,34800,Saline,34.8,68,5,First Cohort
103,290,31000,Saline,31,68,5,First Cohort
103,297,34600,Saline,34.6,68,5,First Cohort
104,291,44500,Saline,44.5,69,5,First Cohort
104,294,45500,Saline,45.5,69,5,First Cohort
106,277,29800,Saline,29.8,71,5,First Cohort
106,300,35700,Saline,35.7,71,5,First Cohort
106,281,34900,Saline,34.9,71,5,First Cohort
106,279,36100,Saline,36.1,71,5,First Cohort
106,278,34100,Saline,34.1,71,5,First Cohort
106,280,41600,Saline,41.6,71,5,First Cohort
106,276,38000,Saline,38,71,5,First Cohort
116,201,41700,MCP230,41.7,81,6,First Cohort
116,202,41200,MCP230,41.2,81,6,First Cohort
116,214,37300,MCP230,37.3,81,6,First Cohort
116,2500,41000,MCP230,41,81,6,First Cohort
117,203,43000,MCP230,43,82,6,First Cohort
117,204,34700,MCP230,34.7,82,6,First Cohort
117,207,38100,MCP230,38.1,82,6,First Cohort
117,208,45800,MCP230,45.8,82,6,First Cohort
117,209,40900,MCP230,40.9,82,6,First Cohort
117,250,44100,MCP230,44.1,82,6,First Cohort
110,298,32700,Saline,32.7,68,6,First Cohort
110,292,31400,Saline,31.4,68,6,First Cohort
110,293,37000,Saline,37,68,6,First Cohort
110,290,33300,Saline,33.3,68,6,First Cohort
110,297,36200,Saline,36.2,68,6,First Cohort
111,291,45000,Saline,45,69,6,First Cohort
111,294,46100,Saline,46.1,69,6,First Cohort
113,277,33000,Saline,33,71,6,First Cohort
113,300,38000,Saline,38,71,6,First Cohort
113,281,38300,Saline,38.3,71,6,First Cohort
113,279,39000,Saline,39,71,6,First Cohort
113,278,36800,Saline,36.8,71,6,First Cohort
113,280,43100,Saline,43.1,71,6,First Cohort
113,276,40000,Saline,40,71,6,First Cohort
123,201,43400,MCP230,43.4,81,7,First Cohort
123,202,43100,MCP230,43.1,81,7,First Cohort
123,214,40500,MCP230,40.5,81,7,First Cohort
123,2500,44500,MCP230,44.5,81,7,First Cohort
124,203,45000,MCP230,45,82,7,First Cohort
124,204,37800,MCP230,37.8,82,7,First Cohort
124,207,39900,MCP230,39.9,82,7,First Cohort
124,208,47800,MCP230,47.8,82,7,First Cohort
124,209,44300,MCP230,44.3,82,7,First Cohort
124,250,46900,MCP230,46.9,82,7,First Cohort
117,298,33300,Saline,33.3,68,7,First Cohort
117,292,32200,Saline,32.2,68,7,First Cohort
117,293,37200,Saline,37.2,68,7,First Cohort
117,290,33800,Saline,33.8,68,7,First Cohort
117,297,37300,Saline,37.3,68,7,First Cohort
118,291,45700,Saline,45.7,69,7,First Cohort
118,294,46800,Saline,46.8,69,7,First Cohort
120,277,34200,Saline,34.2,71,7,First Cohort
120,300,38100,Saline,38.1,71,7,First Cohort
120,281,39200,Saline,39.2,71,7,First Cohort
120,279,40200,Saline,40.2,71,7,First Cohort
120,278,37200,Saline,37.2,71,7,First Cohort
120,280,44400,Saline,44.4,71,7,First Cohort
120,276,41500,Saline,41.5,71,7,First Cohort
130,201,44600,MCP230,44.6,81,8,First Cohort
130,202,44600,MCP230,44.6,81,8,First Cohort
130,214,41300,MCP230,41.3,81,8,First Cohort
130,2500,45200,MCP230,45.2,81,8,First Cohort
131,203,45400,MCP230,45.4,82,8,First Cohort
131,204,39100,MCP230,39.1,82,8,First Cohort
131,207,40800,MCP230,40.8,82,8,First Cohort
131,208,48500,MCP230,48.5,82,8,First Cohort
131,209,45600,MCP230,45.6,82,8,First Cohort
131,250,47800,MCP230,47.8,82,8,First Cohort
124,298,35400,Saline,35.4,68,8,First Cohort
124,292,34000,Saline,34,68,8,First Cohort
124,293,39700,Saline,39.7,68,8,First Cohort
124,290,35900,Saline,35.9,68,8,First Cohort
124,297,39100,Saline,39.1,68,8,First Cohort
125,291,46800,Saline,46.8,69,8,First Cohort
125,294,47000,Saline,47,69,8,First Cohort
127,277,34600,Saline,34.6,71,8,First Cohort
127,300,39200,Saline,39.2,71,8,First Cohort
127,281,40200,Saline,40.2,71,8,First Cohort
127,279,41400,Saline,41.4,71,8,First Cohort
127,278,38200,Saline,38.2,71,8,First Cohort
127,280,45700,Saline,45.7,71,8,First Cohort
127,276,42700,Saline,42.7,71,8,First Cohort
137,201,46200,MCP230,46.2,81,9,First Cohort
137,202,46200,MCP230,46.2,81,9,First Cohort
137,214,42600,MCP230,42.6,81,9,First Cohort
137,2500,46800,MCP230,46.8,81,9,First Cohort
138,203,46100,MCP230,46.1,82,9,First Cohort
138,204,40600,MCP230,40.6,82,9,First Cohort
138,207,41900,MCP230,41.9,82,9,First Cohort
138,208,50800,MCP230,50.8,82,9,First Cohort
138,209,47200,MCP230,47.2,82,9,First Cohort
138,250,49200,MCP230,49.2,82,9,First Cohort
131,298,36600,Saline,36.6,68,9,First Cohort
131,292,35700,Saline,35.7,68,9,First Cohort
131,293,40400,Saline,40.4,68,9,First Cohort
131,290,37700,Saline,37.7,68,9,First Cohort
131,297,40400,Saline,40.4,68,9,First Cohort
132,291,47000,Saline,47,69,9,First Cohort
132,294,48500,Saline,48.5,69,9,First Cohort
134,277,36300,Saline,36.3,71,9,First Cohort
134,300,39800,Saline,39.8,71,9,First Cohort
134,281,42000,Saline,42,71,9,First Cohort
134,279,42500,Saline,42.5,71,9,First Cohort
134,278,40000,Saline,40,71,9,First Cohort
134,280,46600,Saline,46.6,71,9,First Cohort
134,276,43800,Saline,43.8,71,9,First Cohort
144,201,46300,MCP230,46.3,81,10,First Cohort
144,202,45600,MCP230,45.6,81,10,First Cohort
144,214,43500,MCP230,43.5,81,10,First Cohort
144,2500,47500,MCP230,47.5,81,10,First Cohort
145,203,47000,MCP230,47,82,10,First Cohort
145,204,41100,MCP230,41.1,82,10,First Cohort
145,207,42700,MCP230,42.7,82,10,First Cohort
145,208,51800,MCP230,51.8,82,10,First Cohort
145,209,48500,MCP230,48.5,82,10,First Cohort
145,250,50000,MCP230,50,82,10,First Cohort
138,298,36800,Saline,36.8,68,10,First Cohort
138,292,36800,Saline,36.8,68,10,First Cohort
138,293,41500,Saline,41.5,68,10,First Cohort
138,290,38800,Saline,38.8,68,10,First Cohort
138,297,41100,Saline,41.1,68,10,First Cohort
139,291,47000,Saline,47,69,10,First Cohort
139,294,48300,Saline,48.3,69,10,First Cohort
141,277,37200,Saline,37.2,71,10,First Cohort
141,300,41200,Saline,41.2,71,10,First Cohort
141,281,43500,Saline,43.5,71,10,First Cohort
141,279,43300,Saline,43.3,71,10,First Cohort
141,278,41200,Saline,41.2,71,10,First Cohort
141,280,47600,Saline,47.6,71,10,First Cohort
141,276,44100,Saline,44.1,71,10,First Cohort
151,201,47000,MCP230,47,81,11,First Cohort
151,202,46900,MCP230,46.9,81,11,First Cohort
151,214,41500,MCP230,41.5,81,11,First Cohort
151,2500,49200,MCP230,49.2,81,11,First Cohort
152,203,48000,MCP230,48,82,11,First Cohort
152,204,42500,MCP230,42.5,82,11,First Cohort
152,207,43700,MCP230,43.7,82,11,First Cohort
152,208,52800,MCP231,52.8,82,11,First Cohort
152,209,49600,MCP230,49.6,82,11,First Cohort
152,250,51000,MCP230,51,82,11,First Cohort
145,298,39100,Saline,39.1,68,11,First Cohort
145,298,39000,Saline,39,68,11,First Cohort
145,292,38900,Saline,38.9,68,11,First Cohort
145,292,38600,Saline,38.6,68,11,First Cohort
145,293,43000,Saline,43,68,11,First Cohort
145,293,42800,Saline,42.8,68,11,First Cohort
145,290,41500,Saline,41.5,68,11,First Cohort
145,290,41200,Saline,41.2,68,11,First Cohort
145,297,43000,Saline,43,68,11,First Cohort
145,297,43100,Saline,43.1,68,11,First Cohort
146,291,47500,Saline,47.5,69,11,First Cohort
146,291,46900,Saline,46.9,69,11,First Cohort
146,294,49000,Saline,49,69,11,First Cohort
146,294,49100,Saline,49.1,69,11,First Cohort
148,277,41000,Saline,41,71,11,First Cohort
148,277,41000,Saline,41,71,11,First Cohort
148,300,43100,Saline,43.1,71,11,First Cohort
148,300,42900,Saline,42.9,71,11,First Cohort
148,281,45500,Saline,45.5,71,11,First Cohort
148,281,45100,Saline,45.1,71,11,First Cohort
148,279,45600,Saline,45.6,71,11,First Cohort
148,279,45000,Saline,45,71,11,First Cohort
148,278,43600,Saline,43.6,71,11,First Cohort
148,278,43400,Saline,43.4,71,11,First Cohort
148,280,47800,Saline,47.8,71,11,First Cohort
148,280,47700,Saline,47.7,71,11,First Cohort
148,276,44700,Saline,44.7,71,11,First Cohort
148,276,44500,Saline,44.5,71,11,First Cohort
158,201,47500,MCP230,47.5,81,12,First Cohort
158,201,47400,MCP230,47.4,81,12,First Cohort
158,202,47600,MCP230,47.6,81,12,First Cohort
158,202,47300,MCP230,47.3,81,12,First Cohort
158,214,46000,MCP230,46,81,12,First Cohort
158,214,45800,MCP230,45.8,81,12,First Cohort
158,2500,50400,MCP230,50.4,81,12,First Cohort
158,2500,50400,MCP230,50.4,81,12,First Cohort
159,203,48700,MCP230,48.7,82,12,First Cohort
159,203,48800,MCP230,48.8,82,12,First Cohort
159,204,44000,MCP230,44,82,12,First Cohort
159,204,43600,MCP230,43.6,82,12,First Cohort
159,207,45000,MCP230,45,82,12,First Cohort
159,207,45400,MCP230,45.4,82,12,First Cohort
159,208,53200,MCP230,53.2,82,12,First Cohort
159,208,53100,MCP230,53.1,82,12,First Cohort
159,209,51000,MCP230,51,82,12,First Cohort
159,209,50700,MCP230,50.7,82,12,First Cohort
159,250,51100,MCP230,51.1,82,12,First Cohort
159,250,51000,MCP230,51,82,12,First Cohort
152,298,38800,Saline,38.8,68,12,First Cohort
152,298,38600,Saline,38.6,68,12,First Cohort
152,292,39400,Saline,39.4,68,12,First Cohort
152,292,39100,Saline,39.1,68,12,First Cohort
152,293,43200,Saline,43.2,68,12,First Cohort
152,293,43100,Saline,43.1,68,12,First Cohort
152,290,41600,Saline,41.6,68,12,First Cohort
152,290,41400,Saline,41.4,68,12,First Cohort
152,297,43900,Saline,43.9,68,12,First Cohort
152,297,43700,Saline,43.7,68,12,First Cohort
153,291,48000,Saline,48,69,12,First Cohort
153,291,48000,Saline,48,69,12,First Cohort
153,294,49400,Saline,49.4,69,12,First Cohort
153,294,49300,Saline,49.3,69,12,First Cohort
155,277,40800,Saline,40.8,71,12,First Cohort
155,277,43500,Saline,43.5,71,12,First Cohort
155,300,43100,Saline,43.1,71,12,First Cohort
155,300,42700,Saline,42.7,71,12,First Cohort
155,281,45300,Saline,45.3,71,12,First Cohort
155,281,45000,Saline,45,71,12,First Cohort
155,279,45200,Saline,45.2,71,12,First Cohort
155,279,44800,Saline,44.8,71,12,First Cohort
155,278,43700,Saline,43.7,71,12,First Cohort
155,278,43500,Saline,43.5,71,12,First Cohort
155,280,47800,Saline,47.8,71,12,First Cohort
155,280,47900,Saline,47.9,71,12,First Cohort
155,276,44000,Saline,44,71,12,First Cohort
155,276,44000,Saline,44,71,12,First Cohort
